,ind,lon,lat,hs
338,338,251.50198,-73.49986,0.0
339,339,252.49902,-73.49986,0.0
340,340,253.50154,-73.49986,0.0
341,341,254.49858,-73.49986,0.0
342,342,255.5011,-73.49986,0.0
343,343,256.49814,-73.49986,0.0
344,344,257.50067,-73.49986,0.0
345,345,275.50214,-73.49986,0.0
346,346,276.4992,-73.49986,0.0
347,347,277.5017,-73.49986,0.0
348,348,278.49875,-73.49986,0.0
349,349,299.50232,-73.49986,0.0
350,350,300.49936,-73.49986,0.0
351,351,301.5019,-73.49986,0.0
352,352,302.4989,-73.49986,0.0
353,353,303.50143,-73.49986,0.0
354,354,304.49847,-73.49986,0.0
355,355,305.50098,-73.49986,0.0
356,356,306.49805,-73.49986,0.0
357,357,307.50055,-73.49986,0.0
358,358,308.4976,-73.49986,0.0
359,359,309.50012,-73.49986,0.0
360,360,310.50262,-73.49986,0.0
361,361,311.49966,-73.49986,0.0
362,362,312.5022,-73.49986,0.0
363,363,313.4992,-73.49986,0.0
364,364,314.50174,-73.49986,0.0
365,365,315.49878,-73.49986,0.0
366,366,316.50128,-73.49986,0.0
367,367,317.49835,-73.49986,0.0
368,368,318.50085,-73.49986,0.0
369,369,319.4979,-73.49986,0.0
370,370,320.50043,-73.49986,0.0
371,371,321.49744,-73.49986,0.0
372,372,322.49997,-73.49986,0.0
373,373,323.5025,-73.49986,0.0
374,374,324.4995,-73.49986,0.0
375,375,325.50204,-73.49986,0.0
376,376,326.49908,-73.49986,0.0
377,377,327.5016,-73.49986,0.0
378,378,328.49866,-73.49986,0.0
379,379,329.50116,-73.49986,0.0
380,380,330.4982,-73.49986,0.0
381,381,331.50073,-73.49986,0.0
382,382,332.49774,-73.49986,0.0
383,383,333.50027,-73.49986,0.0
384,384,334.4973,-73.49986,0.0
385,385,335.49982,-73.49986,0.0
386,386,336.50235,-73.49986,0.0
387,387,337.4994,-73.49986,0.0
388,388,338.5019,-73.49986,0.0
389,389,170.50073,-72.500046,0.0
390,390,171.49777,-72.500046,0.0
391,391,172.50029,-72.500046,0.0
392,392,173.49733,-72.500046,0.0
393,393,174.49985,-72.500046,0.0
394,394,175.50237,-72.500046,0.0
395,395,176.4994,-72.500046,0.0
396,396,177.50192,-72.500046,0.0
397,397,178.49896,-72.500046,0.0
398,398,179.50148,-72.500046,0.0
399,399,180.49852,-72.500046,0.0
400,400,181.50104,-72.500046,0.0
401,401,182.49808,-72.500046,0.0
402,402,183.5006,-72.500046,0.0
403,403,184.49763,-72.500046,0.0
404,404,185.50015,-72.500046,0.0
405,405,186.50267,-72.500046,0.0
406,406,187.49971,-72.500046,0.0
407,407,188.50223,-72.500046,0.0
408,408,189.49927,-72.500046,0.0
409,409,190.50179,-72.500046,0.0
410,410,191.49883,-72.500046,0.0
411,411,192.50134,-72.500046,0.0
412,412,193.49838,-72.500046,0.20133605068671964
413,413,194.5009,-72.500046,0.40344828723606446
414,414,195.49794,-72.500046,0.6104766061925282
415,415,196.50046,-72.500046,0.6912384635742757
416,416,197.4975,-72.500046,0.7739382040591813
417,417,198.50002,-72.500046,0.8360873948341313
418,418,199.50253,-72.500046,0.8926568170170555
419,419,200.49957,-72.500046,0.9160351871800965
420,420,201.50209,-72.500046,0.9604857332107786
421,421,202.49913,-72.500046,0.9626386887818721
422,422,203.50165,-72.500046,1.0228778904570577
423,423,204.49869,-72.500046,1.050378008946299
424,424,205.5012,-72.500046,1.0645355732064157
425,425,206.49825,-72.500046,1.1112165296932361
426,426,207.50076,-72.500046,1.1483174279707618
427,427,208.4978,-72.500046,1.1625639165802697
428,428,209.50032,-72.500046,1.1631788614687968
429,429,210.49736,-72.500046,1.2026278981207112
430,430,211.49988,-72.500046,1.22956268859633
431,431,212.5024,-72.500046,1.2643994272638266
432,432,213.49944,-72.500046,1.29096335005635
433,433,214.50195,-72.500046,1.3149560863516132
434,434,215.499,-72.500046,1.1472848574851076
435,435,216.50151,-72.500046,0.0
436,436,217.49855,-72.500046,0.0
437,437,218.50107,-72.500046,0.0
438,438,219.49811,-72.500046,0.0
439,439,220.50063,-72.500046,0.0
440,440,221.49767,-72.500046,0.0
441,441,222.50018,-72.500046,0.0
442,442,223.5027,-72.500046,0.0
443,443,224.49974,-72.500046,0.0
444,444,225.50226,-72.500046,0.0
445,445,226.4993,-72.500046,0.0
446,446,227.50182,-72.500046,0.0
447,447,228.49886,-72.500046,0.0
448,448,229.50137,-72.500046,0.0
449,449,230.49841,-72.500046,0.0
450,450,231.50093,-72.500046,0.0
451,451,232.49797,-72.500046,0.0
452,452,233.50049,-72.500046,0.0
453,453,234.49753,-72.500046,0.0
454,454,235.50005,-72.500046,0.0
455,455,236.50256,-72.500046,0.0
456,456,237.4996,-72.500046,0.0
457,457,238.50212,-72.500046,0.0
458,458,239.49916,-72.500046,0.0
459,459,240.50168,-72.500046,0.0
460,460,241.49872,-72.500046,0.0
461,461,242.50124,-72.500046,0.0
462,462,243.49828,-72.500046,0.0
463,463,244.5008,-72.500046,0.0
464,464,245.49783,-72.500046,0.0
465,465,246.50035,-72.500046,0.0
466,466,247.49739,-72.500046,0.0
467,467,248.49991,-72.500046,0.0
468,468,249.50243,-72.500046,0.0
469,469,250.49947,-72.500046,0.0
470,470,251.50198,-72.500046,0.0
471,471,252.49902,-72.500046,0.0
472,472,253.50154,-72.500046,0.0
473,473,254.49858,-72.500046,0.0
474,474,255.5011,-72.500046,0.0
475,475,256.49814,-72.500046,0.0
476,476,266.5014,-72.500046,0.0
477,477,267.49844,-72.500046,0.0
478,478,268.50098,-72.500046,0.0
479,479,269.498,-72.500046,0.0
480,480,270.50052,-72.500046,0.0
481,481,271.49756,-72.500046,0.0
482,482,272.50006,-72.500046,0.0
483,483,273.5026,-72.500046,0.0
484,484,274.49963,-72.500046,0.0
485,485,275.50214,-72.500046,0.0
486,486,276.4992,-72.500046,0.0
487,487,277.5017,-72.500046,0.0
488,488,278.49875,-72.500046,0.0
489,489,279.50128,-72.500046,0.0
490,490,280.4983,-72.500046,0.0
491,491,283.50037,-72.500046,0.0
492,492,284.49744,-72.500046,0.0
493,493,285.49994,-72.500046,0.0
494,494,286.50244,-72.500046,0.0
495,495,300.49936,-72.500046,0.0
496,496,301.5019,-72.500046,0.0
497,497,302.4989,-72.500046,0.0
498,498,303.50143,-72.500046,0.0
499,499,304.49847,-72.500046,0.0
500,500,305.50098,-72.500046,0.0
501,501,306.49805,-72.500046,0.0
502,502,307.50055,-72.500046,0.0
503,503,308.4976,-72.500046,0.0
504,504,309.50012,-72.500046,0.0
505,505,310.50262,-72.500046,0.0
506,506,311.49966,-72.500046,0.0
507,507,312.5022,-72.500046,0.0
508,508,313.4992,-72.500046,0.0
509,509,314.50174,-72.500046,0.0
510,510,315.49878,-72.500046,0.0
511,511,316.50128,-72.500046,0.0
512,512,317.49835,-72.500046,0.0
513,513,318.50085,-72.500046,0.0
514,514,319.4979,-72.500046,0.0
515,515,320.50043,-72.500046,0.0
516,516,321.49744,-72.500046,0.0
517,517,322.49997,-72.500046,0.0
518,518,323.5025,-72.500046,0.0
519,519,324.4995,-72.500046,0.0
520,520,325.50204,-72.500046,0.0
521,521,326.49908,-72.500046,0.0
522,522,327.5016,-72.500046,0.0
523,523,328.49866,-72.500046,0.0
524,524,329.50116,-72.500046,0.0
525,525,330.4982,-72.500046,0.0
526,526,331.50073,-72.500046,0.0
527,527,332.49774,-72.500046,0.0
528,528,333.50027,-72.500046,0.0
529,529,334.4973,-72.500046,0.0
530,530,335.49982,-72.500046,0.0
531,531,336.50235,-72.500046,0.0
532,532,337.4994,-72.500046,0.0
533,533,338.5019,-72.500046,0.0
534,534,339.49896,-72.500046,0.0
535,535,340.50146,-72.500046,0.0
536,536,341.4985,-72.500046,0.0
537,537,342.50104,-72.500046,0.0
538,538,171.49777,-71.50023,0.0
539,539,172.50029,-71.50023,0.0
540,540,173.49733,-71.50023,0.0
541,541,174.49985,-71.50023,0.0
542,542,175.50237,-71.50023,0.0
543,543,176.4994,-71.50023,0.0
544,544,177.50192,-71.50023,0.0
545,545,178.49896,-71.50023,0.0
546,546,179.50148,-71.50023,0.0
547,547,180.49852,-71.50023,0.0
548,548,181.50104,-71.50023,0.0
549,549,182.49808,-71.50023,0.0
550,550,183.5006,-71.50023,0.0
551,551,184.49763,-71.50023,0.0
552,552,185.50015,-71.50023,0.0
553,553,186.50267,-71.50023,0.0
554,554,187.49971,-71.50023,0.0
555,555,188.50223,-71.50023,0.0
556,556,189.49927,-71.50023,0.6348141005236108
557,557,190.50179,-71.50023,0.0
558,558,191.49883,-71.50023,0.0
559,559,192.50134,-71.50023,0.0
560,560,193.49838,-71.50023,0.5113337571147178
561,561,194.5009,-71.50023,0.7198699984876256
562,562,195.49794,-71.50023,0.8117217511083727
563,563,196.50046,-71.50023,0.8713821169934547
564,564,197.4975,-71.50023,0.9117338107931554
